source,destination
/government/policies/supporting-economic-growth-through-managing-the-european-regional-development-fund,/government/policies/management-of-the-european-regional-development-fund
/government/policies/supporting-economic-growth-through-managing-the-european-regional-development-fund/activity,/government/policies/management-of-the-european-regional-development-fund
/government/policies/supporting-economic-growth-through-managing-the-european-regional-development-fund/activity.atom,/government/policies/management-of-the-european-regional-development-fund.atom
/government/policies/supporting-economic-growth-through-managing-the-european-regional-development-fund/supporting-pages/managing-the-european-regional-development-fund,/government/publications/2010-to-2015-government-policy-management-of-the-european-regional-development-fund/2010-to-2015-government-policy-management-of-the-european-regional-development-fund#appendix-1-managing-the-european-regional-development-fund
/government/policies/modernising-company-law--2,/government/policies/company-law-reform
/government/policies/modernising-company-law--2/activity,/government/policies/company-law-reform
/government/policies/modernising-company-law--2/activity.atom,/government/policies/company-law-reform.atom
/government/policies/modernising-company-law--2/supporting-pages/simplifying-accounting-and-auditing-for-small-companies,/government/publications/2010-to-2015-government-policy-company-law-reform/2010-to-2015-government-policy-company-law-reform#appendix-1-simplifying-accounting-and-auditing-for-small-companies
/government/policies/modernising-company-law--2/supporting-pages/negotiating-with-the-eu-on-accounting-regulations,/government/publications/2010-to-2015-government-policy-company-law-reform/2010-to-2015-government-policy-company-law-reform#appendix-2-negotiating-with-the-eu-on-accounting-regulations
/government/policies/bringing-communities-in-northern-ireland-together,/government/policies/northern-ireland-community-relations
/government/policies/bringing-communities-in-northern-ireland-together/activity,/government/policies/northern-ireland-community-relations
/government/policies/bringing-communities-in-northern-ireland-together/activity.atom,/government/policies/northern-ireland-community-relations.atom
/government/policies/providing-clean-water-and-sanitation-in-developing-countries,/government/policies/water-and-sanitation-in-developing-countries
/government/policies/providing-clean-water-and-sanitation-in-developing-countries/activity,/government/policies/water-and-sanitation-in-developing-countries
/government/policies/providing-clean-water-and-sanitation-in-developing-countries/activity.atom,/government/policies/water-and-sanitation-in-developing-countries.atom
/government/policies/providing-clean-water-and-sanitation-in-developing-countries/supporting-pages/improving-access-to-safe-drinking-water,/government/publications/2010-to-2015-government-policy-water-and-sanitation-in-developing-countries/2010-to-2015-government-policy-water-and-sanitation-in-developing-countries#appendix-1-improving-access-to-safe-drinking-water-
/government/policies/providing-clean-water-and-sanitation-in-developing-countries/supporting-pages/improving-access-to-water-sanitation-and-improved-hygiene-through-research,/government/publications/2010-to-2015-government-policy-water-and-sanitation-in-developing-countries/2010-to-2015-government-policy-water-and-sanitation-in-developing-countries#appendix-2-improving-access-to-water-sanitation-and-improved-hygiene-through-research
/government/policies/providing-clean-water-and-sanitation-in-developing-countries/supporting-pages/improving-sanitation-and-hygiene,/government/publications/2010-to-2015-government-policy-water-and-sanitation-in-developing-countries/2010-to-2015-government-policy-water-and-sanitation-in-developing-countries#appendix-3-improving-sanitation-and-hygiene
/government/policies/providing-clean-water-and-sanitation-in-developing-countries/supporting-pages/managing-water-resources,/government/publications/2010-to-2015-government-policy-water-and-sanitation-in-developing-countries/2010-to-2015-government-policy-water-and-sanitation-in-developing-countries#appendix-4-managing-water-resources
/government/policies/making-the-nhs-more-efficient-and-less-bureaucratic,/government/policies/nhs-efficiency
/government/policies/making-the-nhs-more-efficient-and-less-bureaucratic/activity,/government/policies/nhs-efficiency
/government/policies/making-the-nhs-more-efficient-and-less-bureaucratic/activity.atom,/government/policies/nhs-efficiency.atom
/government/policies/making-the-nhs-more-efficient-and-less-bureaucratic/supporting-pages/private-finance-initiatives-pfi-and-nhs-procurement,/government/publications/2010-to-2015-government-policy-nhs-efficiency/2010-to-2015-government-policy-nhs-efficiency#appendix-1-private-finance-initiatives-pfi-and-nhs-procurement
/government/policies/making-the-nhs-more-efficient-and-less-bureaucratic/supporting-pages/nhs-management-and-commissioning,/government/publications/2010-to-2015-government-policy-nhs-efficiency/2010-to-2015-government-policy-nhs-efficiency#appendix-2-nhs-management-and-commissioning
/government/policies/improving-quality-of-life-for-people-with-long-term-conditions,/government/policies/long-term-health-conditions
/government/policies/improving-quality-of-life-for-people-with-long-term-conditions/activity,/government/policies/long-term-health-conditions
/government/policies/improving-quality-of-life-for-people-with-long-term-conditions/activity.atom,/government/policies/long-term-health-conditions.atom
/government/policies/improving-quality-of-life-for-people-with-long-term-conditions/supporting-pages/technology-in-health-and-care,/government/publications/2010-to-2015-government-policy-long-term-health-conditions/2010-to-2015-government-policy-long-term-health-conditions#appendix-1-technology-in-health-and-care
/government/policies/improving-care-for-people-at-the-end-of-their-life,/government/policies/end-of-life-care
/government/policies/improving-care-for-people-at-the-end-of-their-life/activity,/government/policies/end-of-life-care
/government/policies/improving-care-for-people-at-the-end-of-their-life/activity.atom,/government/policies/end-of-life-care.atom
/government/policies/providing-versatile-agile-and-battle-winning-armed-forces-and-a-smaller-more-professional-ministry-of-defence,/government/policies/armed-forces-and-ministry-of-defence-reform
/government/policies/providing-versatile-agile-and-battle-winning-armed-forces-and-a-smaller-more-professional-ministry-of-defence/activity,/government/policies/armed-forces-and-ministry-of-defence-reform
/government/policies/providing-versatile-agile-and-battle-winning-armed-forces-and-a-smaller-more-professional-ministry-of-defence/activity.atom,/government/policies/armed-forces-and-ministry-of-defence-reform.atom
/government/policies/providing-versatile-agile-and-battle-winning-armed-forces-and-a-smaller-more-professional-ministry-of-defence/supporting-pages/civilian-workforce-programme,/government/publications/2010-to-2015-government-policy-armed-forces-and-ministry-of-defence-reform/2010-to-2015-government-policy-armed-forces-and-ministry-of-defence-reform#appendix-1-civilian-workforce-programme
/government/policies/providing-versatile-agile-and-battle-winning-armed-forces-and-a-smaller-more-professional-ministry-of-defence/supporting-pages/keep-our-network-of-overseas-military-bases,/government/publications/2010-to-2015-government-policy-armed-forces-and-ministry-of-defence-reform/2010-to-2015-government-policy-armed-forces-and-ministry-of-defence-reform#appendix-2-keep-our-network-of-overseas-military-bases-
/government/policies/providing-versatile-agile-and-battle-winning-armed-forces-and-a-smaller-more-professional-ministry-of-defence/supporting-pages/a-new-simplified-operating-model-for-defence,/government/publications/2010-to-2015-government-policy-armed-forces-and-ministry-of-defence-reform/2010-to-2015-government-policy-armed-forces-and-ministry-of-defence-reform#appendix-3-a-new-simplified-operating-model-for-defence
/government/policies/providing-versatile-agile-and-battle-winning-armed-forces-and-a-smaller-more-professional-ministry-of-defence/supporting-pages/curbing-defence-costs-while-providing-battle-winning-forces,/government/publications/2010-to-2015-government-policy-armed-forces-and-ministry-of-defence-reform/2010-to-2015-government-policy-armed-forces-and-ministry-of-defence-reform#appendix-4-curbing-defence-costs-while-providing-battle-winning-forces
/government/policies/providing-versatile-agile-and-battle-winning-armed-forces-and-a-smaller-more-professional-ministry-of-defence/supporting-pages/the-new-employment-model-for-service-personnel,/government/publications/2010-to-2015-government-policy-armed-forces-and-ministry-of-defence-reform/2010-to-2015-government-policy-armed-forces-and-ministry-of-defence-reform#appendix-5-the-new-employment-model-for-service-personnel-
/government/policies/helping-developing-countries-deal-with-humanitarian-emergencies,/government/policies/humanitarian-emergencies
/government/policies/helping-developing-countries-deal-with-humanitarian-emergencies/activity,/government/policies/humanitarian-emergencies
/government/policies/helping-developing-countries-deal-with-humanitarian-emergencies/activity.atom,/government/policies/humanitarian-emergencies.atom
/government/policies/helping-developing-countries-deal-with-humanitarian-emergencies/supporting-pages/support-to-international-partners,/government/publications/2010-to-2015-government-policy-humanitarian-emergencies/2010-to-2015-government-policy-humanitarian-emergencies#appendix-1-support-to-international-partners
/government/policies/helping-developing-countries-deal-with-humanitarian-emergencies/supporting-pages/helping-countries-protect-themselves-against-future-disasters,/government/publications/2010-to-2015-government-policy-humanitarian-emergencies/2010-to-2015-government-policy-humanitarian-emergencies#appendix-2-helping-countries-protect-themselves-against-future-disasters
/government/policies/helping-developing-countries-deal-with-humanitarian-emergencies/supporting-pages/implementing-international-humanitarian-principles-and-policy,/government/publications/2010-to-2015-government-policy-humanitarian-emergencies/2010-to-2015-government-policy-humanitarian-emergencies#appendix-3-implementing-international-humanitarian-principles-and-policy
/government/policies/rebalancing-the-northern-ireland-economy,/government/policies/northern-ireland-economy
/government/policies/rebalancing-the-northern-ireland-economy/activity,/government/policies/northern-ireland-economy
/government/policies/rebalancing-the-northern-ireland-economy/activity.atom,/government/policies/northern-ireland-economy.atom
/government/policies/creating-an-exceptional-civil-service-less-bureaucratic-and-more-skilled-digital-and-unified,/government/policies/civil-service-reform
/government/policies/creating-an-exceptional-civil-service-less-bureaucratic-and-more-skilled-digital-and-unified/activity,/government/policies/civil-service-reform
/government/policies/creating-an-exceptional-civil-service-less-bureaucratic-and-more-skilled-digital-and-unified/activity.atom,/government/policies/civil-service-reform.atom
/government/policies/helping-employers-make-safer-recruiting-decisions,/government/publications/2010-to-2015-government-policy-helping-employers-make-safer-recruiting-decisions
/government/policies/helping-employers-make-safer-recruiting-decisions/activity,
/government/policies/helping-employers-make-safer-recruiting-decisions/activity.atom,
/government/policies/giving-communities-more-power-in-planning-local-development,/government/policies/planning-reform
/government/policies/giving-communities-more-power-in-planning-local-development/activity,/government/policies/planning-reform
/government/policies/giving-communities-more-power-in-planning-local-development/activity.atom,/government/policies/planning-reform.atom
/government/policies/giving-communities-more-power-in-planning-local-development/supporting-pages/community-infrastructure-levy,/government/publications/2010-to-2015-government-policy-planning-reform/2010-to-2015-government-policy-planning-reform#appendix-1-community-infrastructure-levy
/government/policies/giving-communities-more-power-in-planning-local-development/supporting-pages/neighbourhood-planning,/government/publications/2010-to-2015-government-policy-planning-reform/2010-to-2015-government-policy-planning-reform#appendix-2-neighbourhood-planning
/government/policies/giving-communities-more-power-in-planning-local-development/supporting-pages/local-plans,/government/publications/2010-to-2015-government-policy-planning-reform/2010-to-2015-government-policy-planning-reform#appendix-3-local-plans
/government/policies/reducing-the-impact-of-climate-change-in-developing-countries,/government/policies/climate-change-impact-in-developing-countries
/government/policies/reducing-the-impact-of-climate-change-in-developing-countries/activity,/government/policies/climate-change-impact-in-developing-countries
/government/policies/reducing-the-impact-of-climate-change-in-developing-countries/activity.atom,/government/policies/climate-change-impact-in-developing-countries.atom
/government/policies/reducing-the-impact-of-climate-change-in-developing-countries/supporting-pages/helping-developing-countries-to-find-new-ways-of-coping-with-a-changing-climate,/government/publications/2010-to-2015-government-policy-climate-change-impact-in-developing-countries/2010-to-2015-government-policy-climate-change-impact-in-developing-countries#appendix-1-helping-developing-countries-to-find-new-ways-of-coping-with-a-changing-climate
/government/policies/reducing-the-impact-of-climate-change-in-developing-countries/supporting-pages/supporting-developing-countries-to-invest-in-clean-technologies,/government/publications/2010-to-2015-government-policy-climate-change-impact-in-developing-countries/2010-to-2015-government-policy-climate-change-impact-in-developing-countries#appendix-2-supporting-developing-countries-to-invest-in-clean-technologies
/government/policies/reducing-the-impact-of-climate-change-in-developing-countries/supporting-pages/research-into-the-impacts-of-climate-change-in-developing-countries,/government/publications/2010-to-2015-government-policy-climate-change-impact-in-developing-countries/2010-to-2015-government-policy-climate-change-impact-in-developing-countries#appendix-3-research-into-the-impacts-of-climate-change-in-developing-countries
/government/policies/reducing-hunger-and-malnutrition-in-developing-countries,/government/policies/hunger-and-malnutrition-in-developing-countries
/government/policies/reducing-hunger-and-malnutrition-in-developing-countries/activity,/government/policies/hunger-and-malnutrition-in-developing-countries
/government/policies/reducing-hunger-and-malnutrition-in-developing-countries/activity.atom,/government/policies/hunger-and-malnutrition-in-developing-countries.atom
/government/policies/reducing-hunger-and-malnutrition-in-developing-countries/supporting-pages/improving-nutrition-for-mothers-and-children-in-poor-countries,/government/publications/2010-to-2015-government-policy-hunger-and-malnutrition-in-developing-countries/2010-to-2015-government-policy-hunger-and-malnutrition-in-developing-countries#appendix-1-improving-nutrition-for-mothers-and-children-in-poor-countries
/government/policies/reducing-hunger-and-malnutrition-in-developing-countries/supporting-pages/improving-agricultural-productivity-in-developing-countries,/government/publications/2010-to-2015-government-policy-hunger-and-malnutrition-in-developing-countries/2010-to-2015-government-policy-hunger-and-malnutrition-in-developing-countries#appendix-2-improving-agricultural-productivity-in-developing-countries
/government/policies/reducing-hunger-and-malnutrition-in-developing-countries/supporting-pages/working-with-international-partners-to-reduce-hunger-and-malnutrition-in-developing-countries,/government/publications/2010-to-2015-government-policy-hunger-and-malnutrition-in-developing-countries/2010-to-2015-government-policy-hunger-and-malnutrition-in-developing-countries#appendix-3-working-with-international-partners-to-reduce-hunger-and-malnutrition-in-developing-countries
/government/policies/reducing-hunger-and-malnutrition-in-developing-countries/supporting-pages/researching-the-best-ways-to-reduce-hunger-and-malnutrition-in-developing-countries,/government/publications/2010-to-2015-government-policy-hunger-and-malnutrition-in-developing-countries/2010-to-2015-government-policy-hunger-and-malnutrition-in-developing-countries#appendix-4-researching-the-best-ways-to-reduce-hunger-and-malnutrition-in-developing-countries
/government/policies/increasing-the-effectiveness-of-uk-aid,/government/policies/overseas-aid-effectiveness
/government/policies/increasing-the-effectiveness-of-uk-aid/activity,/government/policies/overseas-aid-effectiveness
/government/policies/increasing-the-effectiveness-of-uk-aid/activity.atom,/government/policies/overseas-aid-effectiveness.atom
/government/policies/increasing-the-effectiveness-of-uk-aid,/government/policies/overseas-aid-effectiveness
/government/policies/increasing-the-effectiveness-of-uk-aid/activity,/government/policies/overseas-aid-effectiveness
/government/policies/increasing-the-effectiveness-of-uk-aid/activity.atom,/government/policies/overseas-aid-effectiveness.atom
/government/policies/making-sure-children-in-developing-countries-get-a-good-education,/government/policies/education-in-developing-countries
/government/policies/making-sure-children-in-developing-countries-get-a-good-education/activity,/government/policies/education-in-developing-countries
/government/policies/making-sure-children-in-developing-countries-get-a-good-education/activity.atom,/government/policies/education-in-developing-countries.atom
/government/policies/making-sure-children-in-developing-countries-get-a-good-education/supporting-pages/researching-how-to-make-sure-children-in-developing-countries-get-a-good-education,/government/publications/2010-to-2015-government-policy-education-in-developing-countries/2010-to-2015-government-policy-education-in-developing-countries#appendix-1-researching-how-to-make-sure-children-in-developing-countries-get-a-good-education
/government/policies/making-sure-children-in-developing-countries-get-a-good-education/supporting-pages/raising-standards-of-education,/government/publications/2010-to-2015-government-policy-education-in-developing-countries/2010-to-2015-government-policy-education-in-developing-countries#appendix-2-raising-standards-of-education
/government/policies/making-sure-children-in-developing-countries-get-a-good-education/supporting-pages/girls-education-challenge,/government/publications/2010-to-2015-government-policy-education-in-developing-countries/2010-to-2015-government-policy-education-in-developing-countries#appendix-3-girls-education-challenge
/government/policies/giving-more-power-back-to-cities-through-city-deals,/government/policies/city-deals-and-growth-deals
/government/policies/giving-more-power-back-to-cities-through-city-deals/activity,/government/policies/city-deals-and-growth-deals
/government/policies/giving-more-power-back-to-cities-through-city-deals/activity.atom,/government/policies/city-deals-and-growth-deals.atom
/government/policies/giving-more-power-back-to-cities-through-city-deals/supporting-pages/city-deals,/government/publications/2010-to-2015-government-policy-city-deals-and-growth-deals/2010-to-2015-government-policy-city-deals-and-growth-deals#appendix-1-city-deals
/government/policies/giving-more-power-back-to-cities-through-city-deals/supporting-pages/city-deals-wave-1,/government/publications/2010-to-2015-government-policy-city-deals-and-growth-deals/2010-to-2015-government-policy-city-deals-and-growth-deals#appendix-2-city-deals--wave-1
/government/policies/giving-more-power-back-to-cities-through-city-deals/supporting-pages/city-deals-wave-2,/government/publications/2010-to-2015-government-policy-city-deals-and-growth-deals/2010-to-2015-government-policy-city-deals-and-growth-deals#appendix-3-city-deals---wave-2
/government/policies/reducing-drugs-misuse-and-dependence,/government/policies/drug-misuse-and-dependency
/government/policies/reducing-drugs-misuse-and-dependence/activity,/government/policies/drug-misuse-and-dependency
/government/policies/reducing-drugs-misuse-and-dependence/activity.atom,/government/policies/drug-misuse-and-dependency.atom
/government/policies/reducing-drugs-misuse-and-dependence/supporting-pages/classifying-and-controlling-drugs,/government/publications/2010-to-2015-government-policy-drug-misuse-and-dependency/2010-to-2015-government-policy-drug-misuse-and-dependency#appendix-1-classifying-and-controlling-drugs
/government/policies/reducing-drugs-misuse-and-dependence/supporting-pages/classifying-and-controlling-new-psychoactive-substances,/government/publications/2010-to-2015-government-policy-drug-misuse-and-dependency/2010-to-2015-government-policy-drug-misuse-and-dependency#appendix-2-new-psychoactive-substances
/government/policies/treating-patients-and-service-users-with-respect-dignity-and-compassion,/government/policies/compassionate-care-in-the-nhs
/government/policies/treating-patients-and-service-users-with-respect-dignity-and-compassion/activity,/government/policies/compassionate-care-in-the-nhs
/government/policies/treating-patients-and-service-users-with-respect-dignity-and-compassion/activity.atom,/government/policies/compassionate-care-in-the-nhs.atom
/government/policies/reducing-the-deficit-and-rebalancing-the-economy,/government/policies/deficit-reduction
/government/policies/reducing-the-deficit-and-rebalancing-the-economy/activity,/government/policies/deficit-reduction
/government/policies/reducing-the-deficit-and-rebalancing-the-economy/activity.atom,/government/policies/deficit-reduction.atom
/government/policies/improving-social-mobility-to-create-a-fairer-society,/government/policies/social-mobility
