old_url,ignoreoriginaltitle,organisation,title,body,opening_date,closing_date,consultation_ISBN,ignoreperson,ignoreaddr,ignoreemail,policy_1,policy_2,policy_3,policy_4,response_date,response_1_url,response_1_title,response_summary,response_1_ISBN,response_2_url,response_2_title,response_2_ISBN,response_3_url,response_3_title,response_3_ISBN,response_4_url,response_4_title,response_5_url,response_5_title,response_5_ISBN,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title,attachment_10_url,attachment_10_title,attachment_11_url,attachment_11_title,attachment_12_url,attachment_12_title,attachment_13_url,attachment_13_title,attachment_14_url,attachment_14_title,attachment_15_url,attachment_15_title,attachment_16_url,attachment_16_title,attachment_17_url,attachment_17_title,attachment_18_url,attachment_18_title,attachment_19_url,attachment_19_title,attachment_20_url,attachment_20_title,attachment_21_url,attachment_21_title,attachment_22_url,attachment_22_title,attachment_23_url,attachment_23_title
http://www.communities.gov.uk/publications/fire/bedsfraconsult,Changing the name of Bedfordshire and Luton combined fire authority: Consultation,department-for-communities-and-local-government,Changing the name of Bedfordshire and Luton combined fire authority,This consultation seeks views from selected bodies on the proposal of Bedfordshire and Luton Combined Fire Authority to change their name to Bedfordshire Fire and Rescue Authority.,28-Aug-2012,25-Sep-2012,9781409836148,Anna Wadsworth,,mailto:fsed6@communities.gsi.gov.uk,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/fire/pdf/2205794.pdf,Changing the name of Bedfordshire and Luton combined fire authority: Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/localpreceptconsult,Localising support for council tax - Council tax base and funding for local precepting authorities: Consultation,department-for-communities-and-local-government,Localising support for Council Tax: Council Tax base,"Localising council tax support is part of a wider set of reforms to the welfare system.

This consultation sets out the government's proposals to provide certainty to local precepting authorities by allowing the council tax base for those areas to be calculated excluding localised council tax support reductions.

It seeks views on:

  * the government's proposals for providing certainty for the funding of local precepting authorities
  * whether proposals for providing certainty to local precepting authorities should also be applied for all special items
  * the draft amending statutory instrument.",28-Aug-2012,9-Oct-2012,9781409836223,,,mailto:CTB-REFORM@communities.gsi.gov.uk,making-local-councils-more-transparent-and-accountable-to-local-people,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2206075.pdf,Localising support for council tax - Council tax base and funding for local precepting authorities: Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/renegotiationobligationsconsult,Renegotiation of Section 106 planning obligations: Consultation,department-for-communities-and-local-government,Renegotiation of Section 106 planning obligations,The government's Housing Strategy _Laying the Foundations: A Housing Strategy for England_ published on 21 November 2011 set out a proposal to allow reconsideration of planning obligations agreed in more buoyant market conditions. The aim of this consultation is set out the details of how the proposal will work and to seek views.,13-Aug-2012,8-Oct-2012,9781409833161,William Richardson,,mailto:cil@communities.gsi.gov.uk,making-the-planning-system-work-more-efficiently-and-effectively,improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2196058.pdf,Renegotiation of Section 106 planning obligations: Consultation,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2196098.pdf,Renegotiation of Section 106 planning obligations: Impact Assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/searevocationeast,Strategic Environmental Assessment of the Revocation of the East of England Regional Strategy: Environmental Report,department-for-communities-and-local-government,Strategic Environmental Assessment of revoking the east of England regional strategy,"This Environmental Report is a consultation document on the likely significant environmental effects of revocation of the East of England Plan and the Regional Economic Strategy (which together form the regional strategy in force for the East of England).

This report succeeds the previous environmental report for the revocation of the East of England Regional Strategy which was consulted on between October 2011 and January 2012. It is a stand alone document the intention of which is to provide the reader with an up-to-date comprehensive assessment of the environmental effects of the revocation of the East of England Plan and the Regional Economic Strategy without the need to refer back to the previous environmental report.

At the end of the period all consultation responses will be considered, including those already submitted during the earlier response period.",25-Jul-2012,20-Sep-2012,,,,mailto:SEAConsultation@communities.gsi.gov.uk,improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2189444.pdf,Strategic Environmental Assessment of the Revocation of the East of England Regional Strategy: Environmental Report,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2189454.pdf,Strategic Environmental Assessment of the Revocation of the East of England Regional Strategy: Appendix A,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2189450.pdf,Strategic Environmental Assessment of the Revocation of the East of England Regional Strategy: Appendix B,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2189457.pdf,Strategic Environmental Assessment of the Revocation of the East of England Regional Strategy: Appendix C,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2189460.pdf,Strategic Environmental Assessment of the Revocation of the East of England Regional Strategy: Appendix D,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2189463.pdf,Strategic Environmental Assessment of the Revocation of the East of England Regional Strategy: Appendix E,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2189466.pdf,Strategic Environmental Assessment of the Revocation of the East of England Regional Strategy: Appendix F,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2189469.pdf,Strategic Environmental Assessment of the Revocation of the East of England Regional Strategy: Appendix G,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2189472.pdf,Strategic Environmental Assessment of the Revocation of the East of England Regional Strategy: Appendix H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/parishcouncilspayments,Payments by parish and community councils and charter trustees: Consultation,department-for-communities-and-local-government,Payments by parish and community councils and charter trustees,This consultation proposes the removal of the statutory rule requiring cheques and other orders for the payment of money by parish councils (in England) and community councils (in Wales) to be signed by two councillors. The proposal also covers a similar rule applying to certain charter trustees in England. The government proposes that this should be done by a legislative reform order made under the Legislative and Regulatory Reform Act 2006. The paper sets out the safeguards that would apply to payments by these bodies once the two signature rule is removed.,17-Jul-2012,11-Sep-2012,9781409835745,Graham Fletcher,,mailto:parishpaymentslro@communities.gsi.gov.uk,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2181650.pdf,Payments by parish and community councils and charter trustees: Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/businessratestechnical,Business Rates Retention: Technical Consultation,department-for-communities-and-local-government,Business rates retention: technical details,"This technical consultation builds on the proposals in the government response to consultation published in December 2011, and on the statements of intent published on 17 May 2012.

It seeks views on a range of detailed technical issues concerning practical implementation of those proposals, particularly focusing on how the Government proposes to calculate local authority start-up funding allocations, baseline funding levels as well as other parameters which are required for the setup and operation of the business rates retention scheme. As such, it will be of particular interest to local authority finance departments responsible for implementing and running the new scheme.

Section 2 focuses on establishing baseline funding levels for each local authority, as well as the methodology for allocating Revenue Support Grant which will be paid.

The December 2011 consultation response stated that, in the interests of maintaining as much stability as possible, these would be calculated on the basis of the 2012/13 formula grant process with updated data sets and some limited technical updates. This section details proposals for making those calculations and includes exemplifications of the proposed options. It also covers transfers and adjustments to the local government spending controls total and includes proposed methodologies for incorporating those separate grant funding streams being included in the business rates retention scheme from April 2013.

Section 3 outlines other parameters which need to be determined when setting up the business rates retention system - particularly in relation to establishing individual local authority business rate baselines.

Section 4 details proposals on how the system will operate once it has been set up. It is arranged chronologically, to give local authorities the best idea of how the scheme will operate year-by-year. The calculation of levy and safety net payments is set out in this section. The safety net will fall within the 7.5%-10% range and funded by a 1:1 levy as already announced.

Section 5 covers the proposed approach to closing the 2012-13 national non domestic rating account.

The Department has published a number of documents to supplement the technical consultation on business rates retention. These documents set out the proposed approach for the London share of business rates and an alternative option for funding the New Homes Bonus. In addition, the Department has published supplementary information on proportionate shares as well as population data. These documents can be found below. Responses to additional consultation questions should be sent as part of the responses to the technical consultation.",17-Jul-2012,24-Sep-2012,9781409835738,Andrew Lock,,mailto:brrtechnicalconsultation@communities.gsi.gov.uk,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/21825021.pdf,Business Rates Retention Scheme: Technical Consultation,http://www.communities.gov.uk/documents/localgovernment/doc/2184919.doc,Combined Effect of the Methodology Changes exemplification,http://www.communities.gov.uk/documents/localgovernment/xls/21825221.xls,Concessionary Travel exemplification,http://www.communities.gov.uk/documents/localgovernment/xls/21825271.xls,Log of Weighted Bars exemplification,http://www.communities.gov.uk/documents/localgovernment/xls/21825501.xls,Resource Equalisation exemplification,http://www.communities.gov.uk/documents/localgovernment/xls/21825551.xls,Rural Services exemplification - after floor damping,http://www.communities.gov.uk/documents/localgovernment/xls/21825671.xls,Rural Services exemplification - before floor damping,http://www.communities.gov.uk/documents/localgovernment/pdf/2193077.pdf,Splitting 2012-13 Formula Grant between the service tiers: Covering note and Annex A,http://www.communities.gov.uk/documents/localgovernment/xls/2193082.xls,Annex B: 1990-91 Assumed Debt and New Debt for 1990-91 to 2012-13 exemplification,http://www.communities.gov.uk/documents/localgovernment/xls/2193091.xls,Annex C: 2012-13 Settlement - Relative Needs Formula by Sub-block exemplification,http://www.communities.gov.uk/documents/localgovernment/xls/2193108.xls,Annex D: Breakdown of Formula Grant exemplification,http://www.communities.gov.uk/documents/localgovernment/xls/2193112.xls,Annex E: Formula Grant Model,http://www.communities.gov.uk/documents/localgovernment/pdf/2193116.pdf,Population Data: Covering note,http://www.communities.gov.uk/documents/localgovernment/xls/2193119.xls,Population Data exemplification,http://www.communities.gov.uk/documents/localgovernment/pdf/2203293.pdf,New Homes Bonus - Alternative Option,http://www.communities.gov.uk/documents/localgovernment/pdf/2203298.pdf,Proposed Share of Business Rates in London,http://www.communities.gov.uk/documents/localgovernment/pdf/2204961.pdf,Proportionate Shares: Covering note,http://www.communities.gov.uk/documents/localgovernment/xls/2204965.xls,Proportionate Shares,http://www.communities.gov.uk/documents/localgovernment/xls/2208979.xls,Proportionate Shares Calculations,http://www.communities.gov.uk/documents/localgovernment/pdf/2182628.pdf,Business Rates Retention: Technical Consultation - Equality Statement,,,,,,
http://www.communities.gov.uk/publications/localgovernment/draftlocalauditbill,Draft Local Audit Bill,department-for-communities-and-local-government,Draft Local Audit Bill,"Last year, the government consulted on its proposals for a new local public audit framework and published its response in January 2012. The draft Local Audit Bill is now being published for consultation and pre-legislative scrutiny.

The draft Bill sets out the proposed new audit framework for local public bodies, the process for the appointment of auditors, and the regulatory framework for local public audit. Alongside this we are publishing proposals for the audit of smaller local public bodies (those bodies with a turnover of less than £6.5 million).

###Ordering details

Price: **£29.00**

TSO (The Stationery Office)
PO Box 29
Norwich NR3 1GN
www.tsoshop.co.uk

Tel:  08457 023 474
Fax: 0870 600 5533
Textphone: 0870 240 3701
email: book.orders@tso.co.uk",6-Jul-2012,31-Aug-2012,9780101839327,,,,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2174738.pdf,Draft Local Audit Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/reusebuildingsconsultation,New opportunities for sustainable development and growth through the reuse of existing buildings: Consultation,department-for-communities-and-local-government,Reusing existing buildings: permitted development rights,"The consultation outlines action the government is proposing in the following key areas:

  * to create permitted development rights to assist change of use from existing buildings used for agricultural purposes to uses supporting rural growth
  * to increase the thresholds for permitted development rights for change of use between B1 (business/office) and B8 (warehouse) classes and from B2 (industry) to B1 and B8
  * to introduce a permitted development right to allow the temporary use for two years, where the use is low impact, without the need for planning permission
  * to provide C1 (hotels, boarding and guest houses) permitted development rights to convert to C3 (dwelling houses) without the need for planning permission and
  * to consider if any updates or amendments are needed to the existing descriptions within the use classes order",3-Jul-2012,11-Sep-2012,9781409835622,Saima Williams,,mailto:Deregulate.planning@communities.gsi.gov.uk,improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,making-the-planning-system-work-more-efficiently-and-effectively,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2171937.pdf,New opportunities for sustainable development and growth through the reuse of existing buildings: Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/statutoryconsulteeconsultation,Statutory consultee performance and award of costs: Consultation,department-for-communities-and-local-government,Statutory consultee performance and award of costs,"This consultation proposes to amend guidance in [Circular 03/09: Costs Awards in Appeals and Other Planning Proceedings](http://www.communities.gov.uk/publications/planningandbuilding/circularcostsawards) in relation to statutory consultees and their advice at appeal.

The government is also announcing clarifications to the guidance in relation to local councils and their development plan, and in relation to ensuring evidence submitted at appeal is manifestly accurate and truthful. The government is also requiring the five main statutory bodies to report on, and be accountable for their performance on dealing with planning applications as part of their individual Improvement Plans.",3-Jul-2012,11-Sep-2012,9781409835615,Maria Darby,,mailto:StatCons@communities.gsi.gov.uk,making-the-planning-system-work-more-efficiently-and-effectively,making-local-councils-more-transparent-and-accountable-to-local-people,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2171925.pdf,Statutory consultee performance and award of costs: Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/streamlininginfoconsultation,Streamlining information requirements for planning applications: Consultation,department-for-communities-and-local-government,Streamlining information requirements for planning applications,"This consultation asks for views on three proposals relating to information requirements for planning applications.

These proposals include changes to secondary legislation on information requirements for outline planning applications, and a requirement that local authorities update their local lists of information requirements at least every two years. It also sets out proposed changes to the standard application form.",3-Jul-2012,11-Sep-2012,9781409835608,Julie Shanahan,,mailto:info.requirements@communities.gsi.gov.uk,making-the-planning-system-work-more-efficiently-and-effectively,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2169897.pdf,Streamlining information requirements for planning applications: Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
