old_url,organisation,title,body,price,policy_1,policy_2,policy_3,policy_4,publication_type,ignore date,publication_date,ignore type,ISBN,attachment_0_url,attachment_0_title,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title,attachment_10_url,attachment_10_title,attachment_11_url,attachment_11_title
http://www.communities.gov.uk/publications/housing/advicesquatters2012,department-for-communities-and-local-government,Dealing with squatters in your home,"From 1 September 2012, a person squatting in a residential building is committing a crime. The offence covers squatting in all residential buildings. It protects homeowners and lawful occupiers who discover squatters have occupied their homes. This is jointly produced with the Ministry of Justice and is aimed at informing property owners about the new offence and the procedures for regaining possession of their properties from squatters.

**Please note:** This guidance updates the version published on 21 March 2011, provided below as a _Related Publication_.",Free,increasing-the-number-of-available-homes,improving-the-rented-housing-sector,helping-people-to-buy-a-home,,corporate-reports,1 September 2012,01-Sep-2012,Manuals leaflets and booklets,9781409836339,http://www.communities.gov.uk/documents/housing/pdf/2208971.pdf,Advice on dealing with squatters in your home,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/fsb252012,department-for-communities-and-local-government,Fire and rescue bulletin: 25/2012,"Welcome to the Fire and Rescue Service Bulletin for September 2012, covering areas of interest and relevance to the Fire Service.",Free,working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,4 September 2012,04-Sep-2012,"Newsletters, Circulars and official letters",9781409836322,http://www.communities.gov.uk/documents/fire/pdf/2209794,Fire and Rescue Bulletin 25,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/draftdefaultschemelist,department-for-communities-and-local-government,Localising support for Council Tax: changes to the draft Council Tax Reduction Schemes (Default Scheme) Regulations,Localising council tax support is part of a wider set of reforms to the welfare system. This sets out the changes to the July 16 version of the Default Scheme regulations in list form. More significant changes responding to customer feedback are at the top of the list. Minor changes follow.,Free,making-sure-council-tax-payers-get-good-value-for-money,,,,policy-papers,7 September 2012,07-Sep-2012,"Legislation and policy, Strategies and action plans",9781409836353,http://www.communities.gov.uk/documents/localgovernment/pdf/2213062.pdf,Localising support for council tax: List of Changes to Draft Council Tax Reduction Schemes (Default Scheme) Regulations of 16 July 2012 - 7 September 2012,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/draftprescribedreqsregs,department-for-communities-and-local-government,Localising support for Council Tax: draft Council Tax Reduction Schemes (Prescribed Requirements) Regulations,"Localising council tax support is part of a wider set of reforms to the welfare system. These draft regulations prescribe the other provisions that must be included in all local schemes.

This is the 7 September 2012 version (see separate [note on publication](http://www.communities.gov.uk/publications/localgovernment/draftschemenote)).

Please note:

  * The Regulations prescribe the matters that must (in addition to those that will be set out in Schedule 1A to the Local Government Finance Act 1992 - to be inserted by Schedule 4 to the Local Government Finance Bill) be included in a local scheme. They prescribe the classes of person which must and must not be included in a local scheme as well as other matters that must be included. Provision for pensioners (as defined) must be included in all local schemes.
  * **Schedules 1 to 6** set out the provision that must be made in respect of pensioners.
  * **Schedules 7 to 8** set out the provision that must be made in respect of all applicants (pensioners and non-pensioners)",Free,making-sure-council-tax-payers-get-good-value-for-money,,,,policy-papers,7 September 2012,07-Sep-2012,"Legislation and policy, Strategies and action plans",9781409836360,http://www.communities.gov.uk/documents/localgovernment/pdf/2213081.pdf,Localising support for council tax: Draft Council Tax Reduction Schemes (Prescribed Requirements Scheme) Regulations - 7 September 2012,http://www.communities.gov.uk/documents/localgovernment/pdf/2182189.pdf,Localising support for council tax: Draft Council Tax Reduction Schemes (Prescribed Requirements Scheme) Regulations - 16 July 2012,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/draftschemenote,department-for-communities-and-local-government,Localising support for Council Tax: default and prescribed requirements schemes,"This note explains changes introduced by the 7 September update of the [Prescribed Requirements](http://www.communities.gov.uk/publications/localgovernment/draftprescribedreqsregs) and [Default Schemes](http://www.communities.gov.uk/publications/localgovernment/draftdefaultschemeregs) and sets out plans for the autumn. This version makes minor 'tidying up' amendments to the initial drafts published on 16 July, and some (more noteworthy) responses to stakeholder feedback. A [list of changes](http://www.communities.gov.uk/publications/localgovernment/draftdefaultschemelist) is published alongside.",Free,making-sure-council-tax-payers-get-good-value-for-money,,,,policy-papers,7 September 2012,07-Sep-2012,"Legislation and policy, Strategies and action plans",9781409836377,http://www.communities.gov.uk/documents/localgovernment/pdf/2213052.pdf,Localising support for council tax: Default and Prescribed Requirements Schemes - Publication note - 7 September 2012,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/draftdefaultschemeregs,department-for-communities-and-local-government,Localising support for Council Tax: draft Council Tax Reduction Schemes (Default Scheme) Regulations,"Localising council tax support is part of a wider set of reforms to the welfare system. These draft regulations relate to the Default Council Tax Reduction Scheme. This Scheme will apply to those authorities who have not adopted their own local scheme by 31 January 2013.

This is the 7 September 2012 version (see separate [note on publication](http://www.communities.gov.uk/publications/localgovernment/draftschemenote)).",Free,making-sure-council-tax-payers-get-good-value-for-money,,,,policy-papers,7 September 2012,07-Sep-2012,"Legislation and policy, Strategies and action plans",9781409836346,http://www.communities.gov.uk/documents/localgovernment/pdf/2213069.pdf,Localising support for council tax: Draft Council Tax Reduction Schemes (Default Scheme) Regulations - 7 September 2012,http://www.communities.gov.uk/documents/localgovernment/pdf/2182153.pdf,Localising support for council tax: Draft Council Tax Reduction Schemes (Default Scheme) Regulations - 16 July 2012,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/firekillsreport201112,department-for-communities-and-local-government,Fire Kills campaign: annual report 2011 to 2012,This annual report details the work undertaken by the Fire Kills campaign in 2011-12. The Department for Communities and Local Government Fire Kills campaign aims to raise awareness of key fire safety messages to the general public.,Free,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,working-with-local-partners-to-plan-for-and-respond-to-emergencies,,,corporate-reports,10 September 2012,10-Sep-2012,"Corporate reports, Reports and summaries",9781409836032,http://www.communities.gov.uk/documents/fire/pdf/2213713.pdf,Fire Kills Campaign: Annual Report 2011-12,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/corporate/statistics/capital201112provoutturn2,department-for-communities-and-local-government,Local authority capital expenditure and reciepts for England: 2011 to 2012,"The latest national statistics on the 2nd provisional outturn figures of local authority capital expenditure and receipts in the financial year April 2011 to March 2012 was released on 11 September 2012 under arrangements approved by the UK Statistics Authority.

The latest statistics release includes data from 2007-08 to 2011-12 and updates those statistics previously released on 28 June 2012.

  * Capital expenditure by local authorities in England has fallen to £20.0 billion in 2011-12, a year-on-year decrease of 13 per cent, due mainly to a fall in new construction and conversion, and lower grants, loans and other financial assistance.
  * Capital expenditure rose steadily from £19.8 billion in 2008-09 to £23.1 billion in 2010-11, but has fallen back in 2011-12 to about 1 per cent more than the figure three years earlier in 2008-09.
  * Capital receipts, excluding Housing Revenue Account (HRA) self-financing determination and premium, rose to £2.0 billion in 2011-12, a year-on-year increase of nearly 34 per cent. Market conditions are still proving slow, though have seen an increase in the number of properties sold when compared to 2010-11.",Free,making-local-councils-more-transparent-and-accountable-to-local-people,,,,statistics-national-statistics,11 September 2012,11-Sep-2012,statistics,9781409836414,http://www.communities.gov.uk/documents/statistics/pdf/2213803.pdf,"Local authority capital expenditure and receipts, England: 2011-12 2nd provisional outturn",http://www.communities.gov.uk/documents/statistics/doc/2213806.doc,"Local authority capital expenditure and receipts, England: 2011-12 2nd provisional outturn",http://www.communities.gov.uk/documents/statistics/xls/2213810.xls,Table 1 Local authority capital expenditure and receipts England 2007-08 to 2011-12,http://www.communities.gov.uk/documents/statistics/xls/2213813.xls,Table 2 Local authority capital expenditure by service England 2007-08 to 2011-12,http://www.communities.gov.uk/documents/statistics/xls/2213816.xls,Table 3a Local authority capital expenditure on fixed assets by economic category and service England 2011-12 2nd provisional outturn,http://www.communities.gov.uk/documents/statistics/xls/2213819.xls,Table 3b Local authority capital expenditure by economic category and service England 2011-12 2nd provisional outturn,http://www.communities.gov.uk/documents/statistics/xls/2213824.xls,Table 4 Local authority capital receipts by economic category England 2011-12 2nd provisional outturn,http://www.communities.gov.uk/documents/statistics/xls/2213832.xls,Table 5 Financing of local authority capital expenditure England 2007-08 to 2011-12,http://www.communities.gov.uk/documents/statistics/xls/2213835.xls,Annex A (1) Capital expenditure on fixed assets all services England 2011-12 2nd provisional outturn,http://www.communities.gov.uk/documents/statistics/xls/2213838.xls,Annex A (2) Capital expenditure all services England 2011-12 2nd provisional outturn,http://www.communities.gov.uk/documents/statistics/xls/2213843.xls,Annex A (3) Capital receipts all services England 2011-12 2nd provisional outturn,http://www.communities.gov.uk/documents/statistics/pdf/13301498.pdf,Pre-release Access list: Capital Expenditure and Receipts: England - 2nd Provisional Outturn
http://www.communities.gov.uk/publications/corporate/statistics/quarterlyrevenuelocalq1201213,department-for-communities-and-local-government,"Quarterly revenue outturn for local authorities in England: quarter 1, 2012 to 2013","This statistical release provides quarterly revenue outturn data for local authorities in England, for quarter 1 of the financial year 2012-13, and compares it to revenue account data for the same financial year.",Free,making-local-councils-more-transparent-and-accountable-to-local-people,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,statistics-national-statistics,12 September 2012,12-Sep-2012,statistics,9781409836445,http://www.communities.gov.uk/documents/statistics/pdf/2214583.pdf,Quarterly Revenue Outturn for Local Authorities in England: Quarter 1 2012-13,http://www.communities.gov.uk/documents/statistics/doc/2214588.doc,Quarterly Revenue Outturn for Local Authorities in England: Quarter 1 2012-13,http://www.communities.gov.uk/documents/statistics/xls/2214598.xls,Quarterly Revenue Outturn for Local Authorities in England: Quarter 1 2012-13 - Individual local authority data,http://www.communities.gov.uk/documents/statistics/pdf/2215538.pdf,Mapping of lines on QRO form to Revenue Account (RA) and Revenue Outturn (RO) lines,http://www.communities.gov.uk/documents/statistics/pdf/19970492.pdf,Pre-release Access list: Quarterly Revenue Outturn for Local Authorities in England,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/equalitystatement,department-for-communities-and-local-government,Firefighters' pension scheme 2015: equality statement,"This Equality Statement considers the impact of the proposed firefighters' pension scheme design from April 2015. This assessment has been carried out in pursuance of the public sector equality duty.

The Equality Statement is a living document and, given the need to ensure that the assessment is robust, the assessment process will continue beyond the publication of this statement. The Department will continue to consider whether the firefighters' pension scheme design might be adjusted, or any mitigating actions necessary, to ensure that due regard has been given to the public sector equality duty, prior to the introduction of legislation on the detailed scheme design.",Free,,,,,guidance,13 September 2012,13-Sep-2012,Impact assessments,9781409836483,http://www.communities.gov.uk/documents/fire/pdf/2216073.pdf,Firefighters' Pension Scheme 2015: Equality Statement,,,,,,,,,,,,,,,,,,,,,,
