old_url,organisation,title,policy_1,policy_2,policy_3,policy_4,publication_type,body,price,ignore date,publication_date,ignore type,ISBN,attachment_0_url,attachment_0_title,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title
http://www.communities.gov.uk/publications/fire/fsc222010,department-for-communities-and-local-government,FRS Circular 22/2010 - backward look annual efficiency statements (AESs) for 2009/10 and forward look AESs for 2010 to 2012,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,working-with-local-partners-to-plan-for-and-respond-to-emergencies,,,guidance,This circular advises Fire and Rescue Authorities (FRAs) that the online Annual Efficiency Statement (AES) templates hosted by ESD-toolkit are now 'live' and ready for completion. RMBs are asked to complete the template issued under Circular 15/2010.,Free,21 May 2010,21-May-2010,Circular and official letters,,http://www.communities.gov.uk/documents/fire/pdf/1594420.pdf,FRS Circular 22/2010 - Backward Look Annual Efficiency Statements (AESs) for 2009/10 and Forward Look AESs for 2010/11,http://www.communities.gov.uk/documents/fire/doc/1594516.doc,FRS Circular 22/2010 - Backward Look Annual Efficiency Statements (AESs) for 2009/10 and Forward Look AESs for 2010/11,,,,,,,,
http://www.communities.gov.uk/publications/fire/fsc252010,department-for-communities-and-local-government,FRS Circular 25/2010 - standard operating procedures guide for multi-agency airwave interoperability,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,working-with-local-partners-to-plan-for-and-respond-to-emergencies,,,guidance,This circular provides guidance to Services on the development and implementation of Standard Operating Procedures Guide for Multi-Agency Airwave Interoperability.,Free,17 June 2010,17-Jun-2010,Circular and official letters,,http://www.communities.gov.uk/documents/fire/pdf/1617859.pdf,FRS Circular 25/2010 - Standard Operating Procedures Guide for Multi-Agency Airwave Interoperability,http://www.communities.gov.uk/documents/fire/doc/1617864.doc,FRS Circular 25/2010 - Standard Operating Procedures Guide for Multi-Agency Airwave Interoperability,,,,,,,,
http://www.communities.gov.uk/publications/fire/gra24,department-for-communities-and-local-government,Generic Risk Assessment 2.4: Flooding and water safety,working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,"The Generic Risk Assessment (GRA) in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 2.4_ examines the hazards, risks and control measures relating to Fire and Rescue Service personnel, the personnel of other agencies and members of the public at incidents near, or in water.

GRAs are available in a variety of formats from the Stationery Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£13.99 (free to download below),6 December 2011,06-Dec-2011,"Good practice and guidance, Reports and summaries",9780117540279,http://www.communities.gov.uk/publications/fire/gra24?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/2043194.pdf,Generic Risk Assessment 2.4: Flooding and water safety,,,,,,,,
http://www.communities.gov.uk/publications/fire/gra25largeanimalrescues,department-for-communities-and-local-government,Generic Risk Assessment 2.5: Large animal rescues,working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,"The Generic Risk Assessment (GRA) in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 2.5_ examines the hazards, risks and controls that relate to Fire and Rescue Service (FRS) staff and others when dealing with incidents involving the rescue of large animals.

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£13.99 (free to download below),6 December 2010,06-Dec-2010,"Good practice and guidance, Reports and summaries",9780117540293,http://www.communities.gov.uk/publications/fire/gra25largeanimalrescues?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1787646.pdf,Generic Risk Assessment 2.5: Large Animal Rescues,,,,,,,,
http://www.communities.gov.uk/publications/fire/gra26,department-for-communities-and-local-government,Generic Risk Assessment 2.6: Rescue of trapped persons,working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,"The Generic Risk Assessment (GRA) in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 2.6_ examines the hazards, risks and control measures that relate to incidents where persons are trapped and require release.

GRAs are available in a variety of formats from the Stationery Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£13.99 (free to download below),6 December 2011,06-Dec-2011,"Good practice and guidance, Reports and summaries",9780117540316,http://www.communities.gov.uk/publications/fire/gra26?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/2043272.pdf,Generic Risk Assessment 2.6: Rescue of trapped persons,,,,,,,,
http://www.communities.gov.uk/publications/fire/gra31,department-for-communities-and-local-government,Generic Risk Assessment 3.1: Fighting fires in buildings,working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,"The Generic Risk Assessment in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 3.1_ examines the hazards, risks and controls that relate to Fire and Rescue Service personnel, the personnel of other agencies and members of the public when Service personnel are fighting fires in buildings.

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£19.99 (free to download below),24 March 2011,24-Mar-2011,"Good practice and guidance, Reports and summaries",9780117540378,http://www.communities.gov.uk/publications/fire/gra31?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1851003.pdf,Generic Risk Assessment 3.1: Fighting fires in buildings,,,,,,,,
http://www.communities.gov.uk/publications/fire/gra34openruralareas,department-for-communities-and-local-government,Generic Risk Assessment 3.4: Fighting fires in open rural areas,working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,"The Generic Risk Assessment in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 3.4_ examines the hazards, risks and controls that relate to Fire and Rescue Service personnel, the personnel of other agencies and members of the public when fighting fires in open rural locations including grass, moor land crop and forest fires.

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk/) (external link).",£13.99 (free to download below),28 June 2011,28-Jun-2011,"Manuals leaflets and booklets, Good practice and guidance",978011754039,http://www.communities.gov.uk/publications/fire/gra34openruralareas?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1929827.pdf,Generic Risk Assessment 3.4: Fighting fires in open rural areas,,,,,,,,
http://www.communities.gov.uk/publications/fire/GRA35fireinfarms,department-for-communities-and-local-government,Generic Risk Assessment 3.5: Fighting fires in farms,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,working-with-local-partners-to-plan-for-and-respond-to-emergencies,,,guidance,"The Generic Risk Assessment in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 3.5_ examines the hazards, risks and controls that relate to Fire and Rescue Service personnel, the personnel of other agencies and members of the public when fighting fires in farms from smallholdings to large farms undertaking a wide variety of activities.

Generic Risk Assessments are available in a variety of formats from the Stationery Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk/) (external link).",£13.99 (free to download below),28 June 2011,28-Jun-2011,"Manuals leaflets and booklets, Good practice and guidance",9780117540453,http://www.communities.gov.uk/publications/fire/GRA35fireinfarms?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1929850.pdf,Generic Risk Assessment 3.5: Fighting fires in farms,,,,,,,,
http://www.communities.gov.uk/publications/fire/gra33,department-for-communities-and-local-government,Generic Risk Assessment 3.3: Fighting fire in domestic chimneys,working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,"The Generic Risk Assessment (GRA) in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 3.3_ examines the hazards, risks and control measures relating to Fire and Rescue Service personnel, the personnel of other agencies and mebers of the public when fighting fires in domestic chimneys.

GRAs are available in a variety of formats from the Stationery Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£13.99 (free to download below),31 August 2011,31-Aug-2011,"Good practice and guidance, Reports and summaries",9780117540415,http://www.communities.gov.uk/publications/fire/gra33?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1953910.pdf,Generic Risk Assessment 3.3: Fighting fires in domestic chimneys,,,,,,,,
http://www.communities.gov.uk/publications/fire/GRA4.2,department-for-communities-and-local-government,Generic Risk Assessment 4.2: Incidents involving transport systems - rail,working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,"The Generic Risk Assessments (GRA) in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 4.2_ examines the hazards, risks and control measures relating to incidents attended by the Fire and Rescue Service on rail systems.

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk/) (external link).",£13.99 (free to download below),31 January 2011,31-Jan-2011,"Good practice and guidance, Reports and summaries",9780117540613,http://www.communities.gov.uk/publications/fire/GRA4.2?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1829947.pdf,Generic Risk Assessment 4.2: Incidents involving transport systems - Rail,,,,,,,,
