4,old_url,title,policy_1,policy_2,policy_3,organisation,minister_1,minister_2,body,first_published,images_0_url,images_0_alt,images_1_url,images_1_alt,images_2_url,images_2_alt,images_3_url,images_3_alt,images_4_url,images_4_alt,images_5_url,images_5_alt,images_6_url,images_6_alt,images_7_url,images_7_alt,images_8_url,images_8_alt,images_9_url,images_9_alt,images_10_url,images_10_alt,images_11_url,images_11_alt
467,http://www.communities.gov.uk/news/localgovernment/1536298,The Sustainable Communities (Amendment) Bill has received Royal Assent,bringing-people-together-in-strong-united-communities,,,department-for-communities-and-local-government,eric-pickles,,"The Sustainable Communities (Amendment) Bill has received Royal Assent.

Under existing legislation, people are able to propose changes to Government policies or national laws which they feel would help their local area economically, socially or environmentally.

The new Act improves the process to allow communities a greater say in how their proposed changes can happen.

The principles behind the new Act - and the original Sustainable Communities Act (2007) - are aligned with recent reforms of local government, and the policy direction set out last autumn in the paper Putting the Frontline First.

The Government recently announced the first ten ideas to receive its support under the 2007 Act.",8-Apr-2010,,,,,,,,,,,,,,,,,,,,,,,,
466,http://www.communities.gov.uk/news/localgovernment/1541748,Government will intervene in Doncaster Council,making-local-councils-more-transparent-and-accountable-to-local-people,,,department-for-communities-and-local-government,eric-pickles,,"Communities Secretary John Denham has today accepted the Audit Commission's report on Doncaster Council and has said he will use his statutory powers to intervene.

The Chief Executive criticised in the report has already left the council and has been replaced by Jo Miller as acting Chief Executive on an interim basis. Mr Denham has today appointed Rob Whiteman, the new Chief Executive of the local government improvement organisation IDEA, to chair an emergency advisory board to provide, if urgent decisions are needed, leadership and clear support to the acting Chief Executive.

The report has identified severe failings across the council and the Secretary of State takes very seriously the deep-seated nature of some of the issues highlighted in the report. The Government is now urgently discussing the form that intervention should take, including active consideration of appointing Commissioners to take over some or all of the council's functions.

The Audit Commission report into Doncaster Council found that the council was failing due to a culture of poor governance, following a corporate governance inspection.

The Commission recommended that the Secretary of State use his powers to issue a direction to intervene, and set out steps that could be taken to improve the council's performance.

The Government is already intervening in Doncaster's Children's Services, following their inadequate Ofsted annual rating in 2008. That work is having an impact, as the Audit Commission acknowledges. The action the Government is now proposing will help secure further improvements.

John Denham said:

> ""I welcome this investigation by the Audit Commission and I accept the recommendation in the Report. I take very seriously the failure of Doncaster Local Authority - the Mayor, Cabinet, Chief Officers and Councillors - to serve the people of Doncaster well. From the outset, I have made it clear that I would take whatever action was necessary to look after the best interests of local people. I can make it clear today that I will use my statutory powers to intervene.
>
> ""The Audit Commission's report on Doncaster Council shows the severity of the problems in the local authority across the board and concludes that the local authority is failing the people of Doncaster, not just on one service or issue but in the very way it operates. This is absolutely unacceptable.
>
> ""I welcome the appointment of Jo Miller on an interim basis as acting Chief Executive, following the departure of the Chief Executive criticised in the report.
>
> ""I am immediately establishing an emergency advisory board chaired by Rob Whiteman and involving other senior colleagues with relevant experience, so that if urgent decisions are needed at the council, it can provide clear leadership and support to the acting Chief Executive. I will not hesitate, if necessary, to use my power of direction to enable me, in consultation with the board, to take further action.
>
> ""I am now considering the form of intervention that will best serve the people of Doncaster. There should be no doubt that I am actively considering appointing commissioners to take over some or all of the functions of the council.
>
> ""I call on everyone at the local authority to accept the report's findings, acknowledge the severity of the failings, and work with Government and other partners to move on from this unacceptable state of corporate paralysis for the good of Doncaster.
>
> ""I have asked for an early meeting to be held with other government departments and the LGA this afternoon. In addition I have invited local partners from the public and other sectors to help me form the detail of my intervention and to contribute to the establishment of robust arrangements to ensure rapid improvements in Doncaster. This invitation has been extended by letter today.
>
> ""As a first step my officials will be holding meetings this week with partners and the local authority's leading officers to explore the way forward on intervention.""

Rob Whiteman, incoming Managing Director of the Improvement and Development Agency, said:

> ""The residents of Doncaster quite rightly deserve assurance that every possible effort will be made to help the local council improve. It is absolutely vital that changes are put in place to the way the authority operates, services are safeguarded and local people start to receive a better deal.""

### Notes to editors

1. Where poor performance at local level is critical or long standing Central Government has a wide range of intervention powers, both informal and statutory. Action may range from:

  * Use of statutory powers under section 15 of the Local Government Act 1999 to direct the Council to take specific action to secure recovery or improvement.  This is likely where other action has failed to lead to improvement
  * In the most serious cases, under section 15(6) of the 1999 Act, the relevant Secretary of State may himself exercise certain specified functions of the authority, or appoint a nominee to do so.

2.  The Audit Commission report is available here: [www.audit-commission.gov.uk/doncasterreport](http://www.audit-commission.gov.uk/localgov/audit/inspection/reports/Pages/201004doncastermetropolitanboroughcouncilcorporategovernanceinspection.aspx) (external link).

3.  As a matter of urgency views on the form of intervention are being sought from the LGA, the Mayor, Doncaster Council and key partners (including South Yorkshire Police, NHS Doncaster, Yorkshire Forward, Jobcentre Plus, Doncaster Community Empowerment Network, Doncaster CVS, South Yorkshire Passenger Transport Executive, Doncaster Chamber and YoHr Space, Yorkshire & Humber Improvement & Efficiency Partnership).

4. The emergency advisory board will be chaired by Rob Whiteman and, if urgent decisions are needed, will advise the Secretary of State.

5. Rob Whiteman is the Chief Executive of the London Borough of Barking & Dagenham. He will become the managing director of the Improvement & Development Agency (IDeA) in early May.",19-Apr-2010,,,,,,,,,,,,,,,,,,,,,,,,
465,http://www.communities.gov.uk/news/corporate/1626220,Major infrastructure stays on fast-track as planning quango closes,making-the-planning-system-work-more-efficiently-and-effectively,,,department-for-communities-and-local-government,eric-pickles,,"A new democratic, fast track system for decision making on major infrastructure projects to support the UK's return to economic growth, was announced today by Decentralisation Minister Greg Clark.

Mr Clark confirmed that the Infrastructure Planning Commission - a quango with the power to approve major infrastructure projects - will be abolished in line with the Coalition Agreement.

It will be replaced with a new rapid and accountable system where Ministers, not unelected commissioners, will take the decisions on new infrastructure projects critical to the country's future economic growth.

A Major Infrastructure Planning Unit will be established in the Planning Inspectorate to continue fast-tracking major infrastructure projects like offshore windfarms and nuclear power stations. Ministers will take decisions on applications within the same statutory fast-track timeframe as the current regime.

In addition, all National Policy Statements (NPS), the Government's future infrastructure blueprints, will now be subject to ratification by Parliament. Ministers believe these critically important national documents must have the strongest possible democratic legitimacy.

Greg Clark said:

> ""New infrastructure is critical to the country's return to economic growth and we believe we must have a fast track system for major projects
- but it must be accountable.
>
> ""The previous system lacked any democratic legitimacy by giving decision making power away to a distant quango on issues crucial to every community in the country.
>
> ""Today the coalition is remedying those deficiencies by putting in place a new fast track process where the people's elected representatives have responsibility for the final decisions about Britain's future instead of unelected commissioners.""

Energy Minister Charles Hendry added:

> ""A fast and efficient planning system is critical for facilitating investment in much needed new energy infrastructure. By abolishing the Infrastructure Planning Commission we will ensure that vital energy planning decisions are democratically accountable.""

New primary legislation will be brought forward to close the IPC. Until it is in place the IPC will continue to consider and determine applications as National Policy Statements are designated to ensure there is no delay in handling applications.

### Notes to Editors

#### 1. Abolition of the Infrastructure Planning Commission

The Government wants a planning system for major infrastructure which is rapid, predictable and accountable. However decisions on major infrastructure applications should not be taken by an unelected quango. They should be made by Ministers. Abolishing the unelected Infrastructure Planning Commission will reintroduce democratic accountability in line with the Coalition Agreement:

> ""We will abolish the unelected Infrastructure Planning Commission and replace it with an efficient and democratically accountable system that provides a fast-track process for major infrastructure projects.""

The intention is therefore to establish a Major Infrastructure Planning Unit as part of the Planning Inspectorate - an existing agency of Communities and Local Government - which will retain the strengths of the streamlined processes and the experience of the Planning Inspectorate. The Government will put these changes into effect as soon as possible. In the interim, the Infrastructure Planning Commission and the Planning Inspectorate will consider how they can work together and identify efficiency savings.

#### 2. National Policy Statements

The coalition is committed to openness and transparency and it follows that planning decisions should be taken within a clear policy framework, and within clear time limits, making these decisions as predictable as possible. The Government will therefore be pressing ahead with the development of National Policy Statements and will issue a more detailed statement on them later in the summer.

The Government also wants to ensure that National Policy Statements, and the decisions that will be based upon them, are as robust as possible, thus minimising the risk of successful judicial review, particularly by those wishing to abuse the system. The decision-making framework for major infrastructure should have the strongest possible democratic legitimacy. National Policy Statements should be ratified by Parliament. National Policy Statements are critically important documents and they should be subject to public consultation with appropriate local and community engagement, and both scrutinised and ratified by Parliament before designation.

#### 3. Transitional arrangements

Until new legislation is in place the Infrastructure Planning Commission will continue in its present role until it is abolished. During this interim period, should an application reach decision-stage and where the relevant National Policy Statement has been designated, the Infrastructure Planning Commission will decide the application. If an application reaches decision stage and the relevant National Policy Statement has not been designated, the Infrastructure Planning Commission will make a recommendation to the Secretary of State, who will take the decision.

For those applications under active consideration by the Infrastructure Planning Commission when it is abolished, transitional provisions will enable the examination of such applications to continue without interruption, through a seamless transfer to the new Major Infrastructure Planning Unit. There is no question of applications having to restart the process and we intend that the statutory timetable for decision-taking will be no longer than the current regime.

The Government wants to have National Policy Statements in place as rapidly as possible. The Government intends to complete the process for making the Energy (including Nuclear) National Policy Statements, which are part-way through the scrutiny process, and will bring forward revised final texts and ask Parliament to ratify them. Plans for how to take forward the remaining National Policy Statements under development will be published in a more detailed implementation plan - including transitional arrangements and a revised timetable - later in the summer.",29-Jun-2010,,,,,,,,,,,,,,,,,,,,,,,,
464,http://www.communities.gov.uk/news/corporate/1709145,Thurrock Borough Council to take charge of local regeneration,giving-communities-more-power-in-planning-local-development,,,department-for-communities-and-local-government,bob-neill,,"New plans to put the future of Thurrock regeneration back into local hands were announced by Thames Gateway Minister Bob Neill today.

Thurrock Borough Council will absorb the Thurrock Thames Gateway Development Corporation from 1 April 2012. As part of this localist move, decision making power for local regeneration and planning will shift back to into the hands of the local council and communities, who know best what their area needs.

This is a move away from the previous Government's decision to merge the corporation with the Homes and Communities Agency and is part of wider plans to turn Government on its head and end centrally imposed decision making on local areas, including the Thames Gateway.

The change will benefit local residents, businesses and the council, by strengthening local control over regeneration, maintaining the momentum of private sector investment and enabling efficiency savings to be realised.

Bob Neill said:

> ""Putting Thurrock Borough Council back in command of local regeneration puts decision-making power back into democratically elected hands - marking a new era in the area and giving local people more influence to shape the place in which they live.
>
> ""This is part of our wider plans to decentralise strategic oversight of the Thames Gateway, freeing local authorities from the shackles of Whitehall diktat.""

Thurrock Thames Gateway Development Corporation (TTGDC) will cease operation and become part of Thurrock Borough Council from 1 April 2012. The company will move into the Council's premises by March 2011 to work more closely with the council ahead of the change and ensure that vital efficiency savings can be made as soon as possible. The treatment of the assets currently held by TTGDC will be considered as part of the detailed arrangements for the transfer.

### Notes to editors

Last year, the previous administration undertook a quinquennial review of the Development Corporation's performance from inception. Following that review, it was decided that the UDC should be transferred into the HCA. Ministers have reviewed this decision and have concluded that this should not be implemented - believing that it was a centralising measure that would have further distanced local people from decisions about the future of their area. In addition, the consultation undertaken as part of the review showed clearly that there was no local support in favour of this decision.",8-Sep-2010,,,,,,,,,,,,,,,,,,,,,,,,
463,http://www.communities.gov.uk/news/corporate/1840469,Grant Shapps to unlock tenants' right to manage their homes,improving-the-rented-housing-sector,,,department-for-communities-and-local-government,grant-shapps,,"England's four million council housing tenants hold the key to improving their own neighbourhoods, Housing Minister Grant Shapps has said today.

Mr Shapps argued that some of the best examples of people contributing to the Big Society can be found on England's council estates - looking out for their neighbours and making efforts to make their streets better places to live. Yet only two per cent of council properties are run and managed by the tenants themselves.

So the minister has today backed tenants looking to build the Big Society in their neighbourhoods with up to £8m government cash.

This money will be used to set up Tenants Panels where the key decisions to improve the local area can be made - such as how quickly repairs should be made, measures to make their streets safer and children's play schemes. The panels can also be used to hold landlords to account.

The Minister is also planning to reduce bureaucracy and red tape to make it easier for tenants across the country to use their Right to Manage their council-run properties, take responsibility for managing their home from their landlords and take control for themselves.

Housing Minister Grant Shapps said:

> ""The Big Society is alive and well in many housing estates across the country - but I want to make it easier for those who want to build the Big Society in their own back yard to do so. The Right to Manage gives council tenants the opportunity to take power back from their landlords, and take control over their own homes and to make the changes they want to see.
>
> ""There are inspiring examples across the country of where tenants have taken control. But at the moment, only two per cent of council properties are managed by their tenants - I want to see that figure increase substantially. That's why I'm backing tenants to the tune of up to £8m, and looking to cut the red tape and bureaucracy that stop so many people from coming forward.""
>
> ""Council house tenants know the small changes that could make a big difference to their local community. They know the improvements that need to be made, and what local people want to see done. I want to see more tenants able to act and take control for themselves. But for years these tenants have felt powerless to act. From today, that can all change.""

### Notes for editors

1. Examples of communities taking up their Right to Manage include:

Bloomsbury Estate Management Board, Birmingham: Members of the board have focused on transforming the 1960s estate, with measures including demolishing a number of maisonettes and houses to rebuild them with low-rise flats; the building of a new leisure complex with funding from a successful Lottery bid, and setting a local ""Bloomsbury Standard"" for improvement to the properties that exceeds the Decent Homes Standard. Since taking responsibility for the estate, the Board has boosted rent arrears recovery and saved £750,000 over five years through better productivity.

Childwall Valley Estate Management Board, South Liverpool: Set up in 2000 in response to the council's 'emergency repairs only' policy, the board have worked to transform the estate by measures including introducing community wardens to work with local young people, the police and Citizens Advice Bureau to reduce anti-social behaviour and a major redevelopment involving the demolition of unpopular high rise blocks to make way for new homes. Over 90 per cent of residents are satisfied with the services provided by the board, and demand for properties on the estate now far exceeds supply.

New Barracks Tenant Management Cooperative, Salford: The cooperative manages 115 houses on an estate of six streets, and have raised funds for installing play equipment, have maintained the local park area, contributed half the cost to installing CCTV on the estate and introduced community activities including street parties and children's playschemes.

Pembrooke Estate Management Board, Plymouth: Set up in 1994, the Board manages the estate of 13 blocks of flats housing around 500 people, and has taken charge of a £5million refurbishment programme. Since doing so, crime rates have fallen, a Youth Service has been set up to encourage training for excluded school pupils and other vulnerable youngsters, and residents' surveys consistently show that local people consider the estate to be well managed, clean and safe.

2. Funding for the Tenant Empowerment Programme (TEP) is £8m over the Spending Review period (£2m in each of the next four financial years).

3. This programme is managed by the Tenant Services Authority on behalf of DCLG. It provides information, training, and capacity building to enable social housing tenants to challenge, influence or control how housing services are delivered to their communities, in order to improve the quality of life for residents. The programme supports activities over and above the activities that landlords' should provide as part of their regulatory responsibilities.

4. Local authority tenants currently have a statutory right to take over the management of local housing services. The _Housing (Right to Manage) (England) Regulations 2008_, together with statutory guidance, set out the procedures to be followed where a tenant management organisation proposes to enter into a management agreement with a local housing authority.

The importance of local solutions to tackle tenants' problems, including an enhanced role for tenant panels, was identified in the Government's Review of Social Housing Regulation - [www.communities.gov.uk/publications/housing/socialhousingregulation](http://www.communities.gov.uk/publications/housing/socialhousingregulation).",10-Feb-2011,,,,,,,,,,,,,,,,,,,,,,,,
462,http://www.communities.gov.uk/news/corporate/2050201,Accountability and transparency for fire and rescue authorities,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,department-for-communities-and-local-government,bob-neill,,"A consultation on a new Fire and Rescue National Framework was launched today (13 December 2011) by the Fire and Rescue Minister Bob Neill. The consultation seeks views on freeing fire and rescue authorities to tailor their services to meet local needs whilst meeting the wider needs of national resilience.

This more localist approach builds on the approach of the Coalition Government in ending the regionalisation of the fire service and dismantling regional government in England. We have already announced that fire and rescue authorities no longer have to work through Regional Management Boards, and we have stopped the forced regionalisation of fire control rooms through the termination of FireControl.

Launching the National Framework consultation Bob Neill said:

> ""The draft National Framework marks a key milestone to reset the relationship between fire and rescue authorities and central Government.
>
> ""We know that fire and rescue authorities, not Whitehall, are best placed to decide what their communities need. Government must get out of their way and allow them to get on with their vital job of keeping our communities safe.""

The Government is committed to all public services meeting the needs of their communities and the priorities in the draft National Framework are for fire and rescue authorities to:

  * Identify and assess the full range of fire and rescue related risks their area faces, make provision for prevention and protection activities and to respond to incidents appropriately

  * Work in partnership with their communities and a wide range of partners locally and nationally to deliver their service and

  * Be accountable to communities for the service they provide.

1. The Fire and Rescue National Framework consultation document can be found at: [http://www.communities.gsi.gov.uk/publications/fire/fireframeworkconsultation2012](http://www.communities.gov.uk/publications/fire/fireframeworkconsultation2012).

2. The draft National Framework sets out the priorities and objectives for fire and rescue authorities in England in connection with the discharge of their functions. It clarifies the role of fire and rescue authorities and the Government in delivering national resilience and of the importance of accountability and scrutiny for this important public safety service.

3. The consultation will close on 19 March 2012.  Responses can be sent to: [FireNationalFramework@communities.gsi.gov.uk](mailto:FireNationalFramework@communities.gsi.gov.uk) (with any attachments in Microsoft Word).

4. Alongside this public consultation, the Department will be working with key partner organisations, including the Local Government Association and the Chief Fire Officers' Association, to determine the appropriate strategic governance arrangements for national resilience, as introduced in the draft Framework.

5. The existing National Framework remains in force until the new one is brought into effect.",13-Dec-2011,,,,,,,,,,,,,,,,,,,,,,,,
460,http://www.communities.gov.uk/news/corporate/2052201,Minister urges public to be part of the solution to rough sleeping this Christmas,providing-housing-support-for-older-and-vulnerable-people,,,department-for-communities-and-local-government,grant-shapps,,"Housing Minister Grant Shapps has urged people across the country to help solve rough sleeping this Christmas by calling local hotlines if they see someone sleeping on the pavement in their neighbourhood.

The Minister for Housing slept rough himself in 2007 in order to highlight the plight of rough sleepers and recalling his night on the street he said:

> ""In a civilised society no one should have to sleep on the pavement.""

He acknowledged that factors like relationship breakdown can lead to sudden homelessness, but said that the Government is committed to its recently launched No Second Night Out policy.

Now the Minister has appealed to the public to help rough sleepers by calling one of the 24-hour hotlines to bring urgent assistance to rough sleepers.

For the first time, a complete list of these hotline numbers will be available on the Communities website, the Minister announced as he visited Emmaus in St Albans - a project where formerly homeless residents work to restore second-hand furniture and get their lives back on track.

He also announced his New Year's resolution - to establish a new national single phone number which will provide a central point of contact for people across the country to get help for rough sleepers in their neighbourhood.

Based on London's No Second Night Out number, introduced by the Mayor, this new phone line and website will ensure anyone wanting to get help for rough sleepers in their area will know where to go and who to call.

Housing Minister Grant Shapps said:

> ""Christmas is a time for Goodwill, and with winter rapidly approaching, it's more important than ever to ensure that help and shelter are available for those who need it most.
>
> ""We have some of the strongest homelessness protection in the world and councils have a responsibility to ensure that their residents aren't 'roofless' in their area, so I'm calling on members of the public to help them achieve this.
>
> ""It is my New Year's resolution to ensure that a national 'No Second Night Out' hotline is in place by next Christmas, but there are already many local homelessness hotlines available, from Nottingham to Norwich. These numbers are now posted in one place on the Communities website. So my message is simple: if you see someone sleeping rough, please bring them the gift of shelter this Christmas.""

![iframe: ](http://maps.google.co.uk/maps/ms?msid=214017557671758190387.0004b40fe0400ff39fe13&msa=0&ie=UTF8&t=m&vpsrc=0&ll=52.66972,-1.669922&spn=4.330513,7.119141&z=6&output=embed)
View [Homelessness help](http://maps.google.co.uk/maps/ms?msid=214017557671758190387.0004b40fe0400ff39fe13&msa=0&ie=UTF8&t=m&vpsrc=0&ll=52.66972,-1.669922&spn=4.330513,7.119141&z=6&source=embed) in a larger map

1. Key numbers to call to get local help for homeless people are available at: [www.communities.gov.uk/documents/housing/xls/2052062.xls](http://www.communities.gov.uk/documents/housing/xls/2052062.xls) (Excel, 70 kb).",15-Dec-2011,,,,,,,,,,,,,,,,,,,,,,,,
459,http://www.communities.gov.uk/news/corporate/2124322,Tackling inequalities for Gypsy and Traveller communities,bringing-people-together-in-strong-united-communities,,,department-for-communities-and-local-government,andrew-stunell,,"Government commitments to tackle ingrained inequalities and promote fairness for Gypsy and Traveller communities were unveiled by Communities Minister Andrew Stunell in a report published today.

The progress report by the Ministerial working group on tackling inequalities experienced by Gypsies and Travellers contains 28 measures from across Government that will improve outcomes for Gypsies and Travellers across education, health, accommodation, employment and in the criminal justice system.

Gypsies and Travellers experience, some of the worst outcomes of any ethnic or social group including: below average educational attainment; above average rates of miscarriage, still births and neo-natal deaths; and widespread discrimination and hostility.

Ministers are determined to tackle these inequalities and improve the lives of the country's Gypsy and Traveller communities. In November 2010 the Secretary of State for Communities and Local Government, Eric Pickles set up a ministerial working group, bringing together seven Government departments, to examine the challenges faced by these communities and to make recommendations for action.

The report by the working group, published today, is an important step in making headway towards increasing equality for Traveller communities by helping mainstream services work better for Gypsies and Travellers. The commitments outlined in the report include:

  * piloting a 'virtual headteacher' who will champion the interests of Gypsy, Roma and Traveller pupils across their local authority and respond to issues of low attainment and attendance
  * promoting of improved health outcomes for Gypsies and Travellers within the proposed new structures of the NHS
  * work to build on our support for authorised sites that have the backing of the local community, through £60 million Traveller Pitch Funding and the New Homes Bonus to match monies raised through council tax. Both the settled and travelling communities will benefit from such an approach
  * improving knowledge of how Gypsies and Travellers engage with employment services
  * preventing hate crime, increasing reporting of incidents and challenging the attitudes that underpin it; and
  * ensuring access to appropriate rehabilitation activities in prison and on probation.

Communities Minister Andrew Stunell said:

> ""Fairness is one of the key values of the Government and this means everyone having the chance to do well irrespective of their background or their beginnings.
>
> ""This report sets out how work across key Government departments will help tackle inequalities faced by Gypsies and Travellers and help improve the lives of those communities to the benefit of all.""",4-Apr-2012,,,,,,,,,,,,,,,,,,,,,,,,
457,http://www.communities.gov.uk/news/corporate/2137355,National taskforce to end the problem of 'beds in sheds',improving-the-rented-housing-sector,,,department-for-communities-and-local-government,grant-shapps,,"A new national taskforce has been set up to tackle the issue of ""beds in sheds"" by taking action against criminal landlords and removing illegal immigrants.

Today Housing Minister Grant Shapps and Immigration Minister Damian Green held the first in a series of cross-Whitehall summits with representatives from the police, the UK Border Agency and local government.

The meetings will find ways to close down thousands of sheds and outbuildings being rented out illegally to migrants, including some with no right to be in the UK.

These 'tenants' are being exploited by ruthless landlords who charge them extortionate rents to live in cramped conditions.

These modern day shanty towns, often visible on websites such as Google Earth, can be plagued with rats and cockroaches - and are potential death traps with dodgy wiring and poor sanitation.

Some foreign 'tenants' wish to return home but, after destroying their passports to avoid removal, find it difficult to do so quickly.

Today, Mr Shapps and Mr Green discussed:

  * encouraging councils to make greater use of legal powers across planning, fire safety, housing and environmental health
  * how to better measure the extent and nature of the problem, drawing on information collected by Whitehall and Town Halls
  * how best to ensure councils and the police share the intelligence available and enforcement activity
  * closer working with organisations such as the Indian High Commission to help those wanting to return home; and
  * steps to prevent more ""beds in sheds"" from being created.

Housing Minister Grant Shapps said:

> ""It is a scandal that these back garden slums exist to exploit people, many of whom are prepared to return voluntarily to their home country but instead find themselves trapped into paying extortionate rents to live in these cramped conditions.
>
> ""I want to see a crackdown on these criminal landlords. So today we are launching a national taskforce, made up of the police, local councils, the UK Border Agency and HM Revenue and Customs to close down these 'beds in sheds', help those living there to be reunited with their families and ensure their so-called landlords feel the full force of the law.""

Immigration Minister Damian Green said:

> ""Those with no right to be in the UK must leave the country. If they volunteer to leave, we will help. If they refuse, we will enforce their removal.
>
> ""The UK Border Agency will do whatever is necessary, working with local authorities and the police, to clear up this problem and enforce our laws against those who are in the UK illegally and the employers who exploit them.
>
> ""This work is well under way - many individuals have already been removed from the UK and further enforcement visits will follow.""

### Notes to editors

1. Some councils have argued that they need to have a new legal power of entry into premises without notice. However, councils already have this ability provided they obtain a magistrates' warrant - which provides a proportionate check and balance on the use of such powers.",30-Apr-2012,,,,,,,,,,,,,,,,,,,,,,,,
456,http://www.communities.gov.uk/news/corporate/2142666,Tackling record deficit has helped keep repossessions down,helping-people-to-buy-a-home,,,department-for-communities-and-local-government,grant-shapps,,"The Government's commitment to tackling the record deficit is keeping interest rates at a record low and a secure roof over the heads of millions of hard-working homeowners, Housing Minister Grant Shapps said today.

The Minister spoke as latest figures from the Council of Mortgage Lenders showed the number of repossessions unchanged from the same quarter last year. Today's figures show there were 9,600 repossessions during the first three months of 2012 - unchanged from the same quarter of 2011.

Mr Shapps said today's figures underlined how Government action was helping to head off the threat of far higher rates of home repossessions predicted by a leading academic three years ago.

In his report Professor John Muellbauer of Nuffield College, Oxford warned that at the extreme, repossessions could hit levels last seen in the 1990s - and even in more likely scenarios could hit as many as 60,000 a year.

But the Minister also stressed that while today's figures from the Council of Mortgage Lenders were below these earlier predictions, there was no room for complacency and that the Government is determined to do all it can to prevent the trauma of repossession for hard-pressed households.

Housing Minister Grant Shapps said:

> ""No family that has worked hard to buy their own home should be left feeling like repossession is the only option - not when there is help and support on offer to ensure that it is only ever the last resort.
>
> ""Thanks to our work to tackle the deficit, we've managed to keep interest rates at record lows, keeping pressure off hardworking homeowners, and meaning we're nowhere near the levels predicted only three years ago.
>
> ""Even though figures today show that repossession levels are stable, now is not the time to rest on our laurels. Just as the Government is tackling the problem head on I would urge struggling homeowners to do the same - I would urge them to take action and take charge, get advice early and use the support on offer.""

Mr Shapps said that, just as he is committed to helping people onto the property ladder, he is also determined that for those who already own their own homes, real help and advice is on hand to keep people in their hard earned homes and ensure repossession remains a last resort.

This help includes:

  * A £20 million Preventing Repossession fund giving every council the opportunity to offer small interest free loans to struggling homeowners and ensure that court desks can offer on the day advice for those facing the prospect of repossession.

  * The Directgov website - [www.direct.gov.uk/mortgagehelp](http://www.direct.gov.uk/mortgagehelp) (external link) - which has lots of free advice and information. Helpful advice is also on hand from organisations including Citizens Advice and the National Debtline; and

  * The Mortgage Rescue Scheme, which has been refocused to deliver better value for money, with a reduction in the grant rate paid to housing associations and tighter caps on property prices and repair costs, to ensure as many people as possible can benefit from it. More than £200 million has been invested into the scheme, and is now available through councils and housing associations to ensure help is targeted at homeowners most likely to benefit from it.

### Notes to editors

1. The Council of Mortgage Lenders publish their repossessions figures today, which can be found at: [www.cml.org.uk/cml/media/press/3203](http://www.cml.org.uk/cml/media/press/3203) (external link).

2. Separate figures from the Ministry of Justice show that claims leading to a court order have fallen over the past three months by three per cent, and by 12 per cent compared with the same quarter of 2011. The total number of claims for mortgage possession by lenders between January and March this year were five per cent lower than the previous quarter, and 15 per cent lower than in the same quarter in 2011. Of the mortgage possession claims that led to orders in the first quarter of 2012, 50 per cent were suspended. These figures can be found at: [www.justice.gov.uk/statistics/civil-justice/mortgage-possession](http://www.justice.gov.uk/statistics/civil-justice/mortgage-possession) (external link).

3. A summary of Professor John Muellbauer's report, Modelling and forecasting UK mortgage arrears and possessions (NHPAU) can be found at [www.communities.gov.uk/publications/housing/modellingarrearssummary](http://www.communities.gov.uk/publications/housing/modellingarrearssummary).",10-May-2012,,,,,,,,,,,,,,,,,,,,,,,,
