Producing organisation(s),First draft created,Edition states,Title,Author(s),Admin URL,Type
"Department for Environment, Food & Rural Affairs",12/10/2011 20:57:00,draft,Developing a new plant growing culture,"Hugh Smythe, Peter Herlihy",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/6,Publication
Department of Health,28/10/2011 16:36:00,draft,Ice Breakers to be outlawed,"Chris White, Peter Herlihy",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/76,NewsArticle
"Department for Business, Innovation & Skills",02/11/2011 12:05:00,draft,Publication with multiple attachments,James Adam,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/83,Publication
Department for International Development,03/11/2011 14:11:00,draft,A world of 7 billion people,dfid-Alan,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/92,NewsArticle
Office of the Leader of the House of Commons,12/11/2011 09:15:00,draft,e-petitions: the first 100 days,Peter Herlihy,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/129,NewsArticle
Department for International Development,29/11/2011 12:46:00,draft,Andrew Mitchell: Putting women at the heart of development,DFID-Bruce,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/241,Speech
"Department for Business, Innovation & Skills",01/12/2011 16:52:00,draft,Reforming government relations,Simon Cunnington,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/266,Speech
"Department for Business, Innovation & Skills",01/12/2011 17:29:00,draft,£158 million investment in e-infrastructure to power growth and innovation,Simon Cunnington,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/267,NewsArticle
HM Treasury,02/12/2011 14:22:00,draft,Autumn Statement to the House of Commons,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/324,Speech
"Department for Business, Innovation & Skills",05/12/2011 12:59:00,draft,Early repayment of student loans,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/301,Consultation
Department for International Development,06/12/2011 16:30:00,draft,Stephen O'Brien: Challenges and opportunities of family planning and population growth,bruce,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/311,Speech
