# Name,Description,Type,Status,Logo formatted name,Slug
Adult Learning Inspectorate,The Adult Learning Inspectorate (ALI) was a non departmental public body established under the Learning and Skills Act 2000. It became part of Ofsted in April 2007.,other,Closed,Adult Learning Inspectorate,adult-learning-inspectorate
Advantage West Midlands,Advantage West Midlands_was established as the Regional Development Agency (RDA) for the West Midlands in 1999 and closed in 2012,executive_agency,Closed,Advantage West Midlands,advantage-west-midlands
Agricultural Wages Board for Northern Ireland,The Agricultural Wages Board for Northern Ireland is a statutory body which meets 3 times a year to determine the minimum gross wages payable to agricultural workers and to set some conditions for holiday and sick pay entitlement.,other,Closed,Agricultural Wages Board for Northern Ireland,agricultural-wages-board-for-northern-ireland
Animal Health,"Animal Health was a UK government executive agency primarily responsible for ensuring that farmed animals in Great Britain were healthy, disease-free and well looked after. It was merged with the Veterinary Laboratory Agency in 2011 to form the  Animal Health and Veterinary Laboratories Agency.",executive_agency,Closed,Animal Health,animal-health
Animal Procedures Committee,"Animal in Science Committee, some reports are published on gov.uk",other,Closed,Animal Procedures Committee,animal-procedures-committee
Appeals Service Agency,We provide administrative support to the independent  tribunals set up by legislation to hear appeals against decisions made by the Decision Makers in the Social Securitt; Child Maintenance and Enforcement Division; Inland Revenue; Northern Irekand Housing Executive; Land & Property Services,executive_agency,Closed,Appeals Service Agency,appeals-service-agency
Appointments Commission,"The Appointments Commission was established originally as the NHS Appointments Commission in 2001. As an executive non-departmental body of the Department of Health, the Commission originally focused on the appointment of chairs and non-executives to local NHS boards.  It was abolished in 2012.",other,Closed,Appointments Commission,appointments-commission
Armagh Observatory and Planetarium,"Armagh Planetarium is an interactive observatory and planetarium funded by the Department of Culture, Arts and Leisure.",other,Closed,Armagh Observatory and Planetarium,armagh-observatory-and-planetarium
Armed Forces Personnel Administration Agency,The Armed Forces Personnel Administration Agency provided pay and pension services to the Armed Forces. It was merged into the Service Personnel and Veteran's Agency in April 2007.,executive_agency,Closed,Armed Forces Personnel Administration Agency,armed-forces-personnel-administration-agency
Army Base Repair Organisation,"The Army Base Repair Organisation (ABRO) was an executive agency of the MOD. It provided engineering, repair and re-manufacturing services to the Armed Forces and also to the police and some local councils.",executive_agency,Closed,Army Base Repair Organisation,army-base-repair-organisation
Arts Council of Northern Ireland,The Arts Council of Northern Ireland is the development and funding agency for the Arts in Northern Ireland.,executive_agency,Closed,Arts Council of Northern Ireland,arts-council-of-northern-ireland
Arts Council of Wales,"The Arts Council of Wales was established by Royal Charter on 30 March 1994. t is also known by its Welsh name, Cyngor Celfyddydau Cymru. ",other,Closed,Arts Council of Wales,arts-council-of-wales
Ashington Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Ashington Education Action Zone,ashington-education-action-zone
Asset Protection Agency,The APA was part of the Treasury and was established as an executive agency to operate the Asset Protection Scheme. APA ceased operations in October 2012.,executive_agency,Closed,Asset Protection Agency,asset-protection-agency
Assets Recovery Agency,"Established to disrupt organised criminal enterprises through the recovery of criminal assets, and which aims to promote financial investigation as a part of criminal investigation. The Agency ceased to exist on 1 April 2008",executive_agency,Closed,Assets Recovery Agency,assets-recovery-agency
Barker Review of Land Use Planning,The review was established to investigate how the planning system in England could help to deliver economic growth. ,other,Closed,Barker Review of Land Use Planning,barker-review-of-land-use-planning
Barrow Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Barrow Education Action Zone,barrow-education-action-zone
Bedford Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Bedford Education Action Zone,bedford-education-action-zone
Billy Wright Inquiry,"Billy Wright Inquiry carried out between the main office in Edinburgh and the Court House at Banbridge, Northern Ireland into the murder of William Stephen Wright (Billy Wright). ",other,Closed,Billy Wright Inquiry,billy-wright-inquiry
Bloody Sunday Inquiry,"The Bloody Sunday Inquiry, also known as the Saville Inquiry or the Saville Report after its chairman, Lord Saville of Newdigate, was established in 1998 by British Prime Minister Tony Blair after campaigns for a second inquiry by families of those killed and injured in Derry on Bloody Sunday during the peak of ethno-political violence known as The Troubles.",other,Closed,Bloody Sunday Inquiry,bloody-sunday-inquiry
Board of Inland Revenue,Inland Revenue is now a part of Her Majesty's Revenue and Customs,other,Closed,Board of Inland Revenue,board-of-inland-revenue
Bolton Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Bolton Education Action Zone,bolton-education-action-zone
Bridgwater Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Bridgwater Education Action Zone,bridgwater-education-action-zone
Bristol Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Bristol Education Action Zone,bristol-education-action-zone
British Educational Communications and Technology Agency,"British Educational Communications and Technology Agency, was a non-departmental public body and lead agency in the United Kingdom for promotion and integration of information and communications technology (ICT) in education.",executive_agency,Closed,British Educational Communications and Technology Agency,british-educational-communications-and-technology-agency
British Forces Post Office,"The British Forces Post Office (BFPO) provides a postal service to HM Forces, separate from that provided by Royal Mail in the United Kingdom. Its services are currently provided by Defence Equipment and Support.",other,Closed,British Forces Post Office,british-forces-post-office
British Potato Council,The Potato Council is an organisation that aims to develop and promote Britain's potato industry.,other,Closed,British Potato Council,british-potato-council
British Tourist Authority,The authority now trades as Visit Britain,other,Closed,British Tourist Authority,british-tourist-authority
Building Research Establishment,"The Building Research Establishment was government agency which provided independent advice and information on building performance, construction and fire safety in the United Kingdom. BRE was privatised in 1997.",executive_agency,Closed,Building Research Establishment,building-research-establishment
Business Development Service,Business Development Service Ltd (BDS) was formed in 1989 by a small group of professional business advisers who were committed to the cause of providing small businesses with the best advice and guidance to enable them to grow and prosper.,other,Closed,Business Development Service,business-development-service
Buying Solutions,Buying Solutions is now a part of the Government Procurement Service.,other,Closed,Buying Solutions,buying-solutions
"Camborne, Pool and Redruth Education Action Zone","Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,"Camborne, Pool and Redruth Education Action Zone",camborne-pool-and-redruth-education-action-zone
