Slug,Admin URL,Title,Lead organisations,Supporting organisations,Document type,Content sub-type,State,History-mode applied,New lead organisations,New supporting organisations
/government/publications/devolution-guidance-for-civil-servants,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1491271,Devolution: Guidance for civil servants,"Cabinet Office | Civil Service | Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/cabinet-office,/government/organisations/civil-service",/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/commercial-rent-code-of-practice,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1319768,Commercial rent code of practice,"Department for Business and Trade | Department for Levelling Up, Housing and Communities ","Department for Business, Energy & Industrial Strategy",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,
/government/publications/better-connected-a-practical-guide-to-utilities-for-home-builders,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/439150,Better connected: a practical guide to utilities for home builders,"Department for Culture, Media and Sport | Department for Environment, Food & Rural Affairs | Department for Energy Security and Net Zero | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-environment-food-rural-affairs,/government/organisations/department-for-culture-media-and-sport,/government/organisations/department-for-energy-security-and-net-zero","/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/department-for-digital-culture-media-sport"
/government/publications/guidance-relating-to-dynamic-performance-requirements-for-permanent-grandstands-subject-to-crowd-action,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/238796,Guidance relating to dynamic performance requirements for permanent grandstands subject to crowd action,"Department for Culture, Media and Sport | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-culture-media-and-sport,","/government/organisations/department-for-digital-culture-media-sport,/government/organisations/department-for-levelling-up-housing-and-communities"
/government/collections/tenant-management-organisations-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/282726,Right to Manage guidance,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/innovation-in-democracy-workshop-materials,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/906506,Innovation in Democracy: Workshop Materials,"Department for Culture, Media and Sport | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-culture-media-and-sport","/government/organisations/department-for-digital-culture-media-sport,/government/organisations/department-for-levelling-up-housing-and-communities"
/government/publications/innovation-in-democracy-programme-expression-of-interest-eoi,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/909914,Innovation in Democracy Programme: Expression of Interest (EoI),"Department for Culture, Media and Sport | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Form,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-culture-media-and-sport","/government/organisations/department-for-digital-culture-media-sport,/government/organisations/department-for-levelling-up-housing-and-communities"
/government/publications/innovation-in-democracy-programme-launch,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1080660,The Innovation in Democracy Programme (IiDP),"Department for Culture, Media and Sport | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-culture-media-and-sport","/government/organisations/department-for-digital-culture-media-sport,/government/organisations/department-for-levelling-up-housing-and-communities"
/government/collections/capital-finance-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/376426,Capital finance guidance,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/delivering-schools-to-support-housing-growth,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1455179,Delivering schools to support housing growth,Department for Education,"Department for Levelling Up, Housing and Communities ",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-education",/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/a-coastal-concordat-for-england,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1354795,A coastal concordat for England,"Department for Environment, Food & Rural Affairs | Department for Levelling Up, Housing and Communities  | Department for Transport",Marine Management Organisation | Environment Agency | Natural England,Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-environment-food-rural-affairs,/government/organisations/department-for-transport,","/government/organisations/marine-management-organisation,/government/organisations/environment-agency,/government/organisations/natural-england,/government/organisations/department-for-levelling-up-housing-and-communities"
/government/publications/guidance-on-community-action-during-severe-weather,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/11252,Guidance on community action during severe weather,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,force published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/freedom-to-pray-advice-to-parish-councils,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/11293,Freedom to pray: advice to parish councils,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,force published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
